Major,Early Career Pay,Mid-Career Pay
Petroleum Engineering,"$93,200","$187,300"
Operations Research & Industrial Engineering,"$84,800","$170,400"
Electrical Engineering & Computer Science (EECS),"$108,500","$159,300"
Interaction Design,"$68,300","$155,800"
Public Accounting,"$59,800","$147,700"
Operations Research,"$83,500","$147,400"
Applied Economics and Management,"$66,100","$146,400"
Business Computing (BC),"$73,000","$143,600"
Actuarial Mathematics,"$64,300","$143,400"
Electrical Power Engineering,"$76,100","$142,600"
Information & Computer Science,"$58,600","$140,900"
Aeronautics & Astronautics,"$77,600","$139,600"
Systems Engineering,"$77,700","$139,200"
Econometrics,"$64,200","$139,000"
Pharmacy,"$68,600","$138,700"
Aerospace Studies,"$55,800","$136,600"
Building Science,"$53,800","$135,900"
Chemical Engineering,"$76,900","$135,900"
Cognitive Science,"$68,700","$135,200"
Actuarial Science,"$67,700","$134,400"
Political Economy,"$65,100","$133,500"
Computer Systems Engineering,"$79,000","$133,200"
Electrical & Computer Engineering (ECE),"$78,100","$131,600"
Computer Science (CS) & Engineering,"$79,400","$131,300"
